序号,帖子标题,分类,置信度,关键词,作者
2098,[新闻资讯] WAVE 1/7 <偶像大师：灰姑娘女孩> [Dance·Dance·Dance]高垣...,手办/周边,0.95,"偶像大师：灰姑娘女孩, 高垣枫, WAVE, 1/7比例, 手办",hcahcsroR
2102,[新番讨论] 鬼人幻灯抄接下来准备怎么演,动画/番剧,0.95,鬼人幻灯抄,嚣张桐人
2079,疯狂动物城第一部兔子都和狐狸说我爱你了还只是朋友啊,动画/番剧,0.95,"疯狂动物城, 迪士尼, 兔子, 狐狸",LLF2019
2077,2025年上半期商业短篇排行榜TOP10,动画/番剧,0.95,"2025年, 商业短篇, 排行榜",u天地图新客户喜欢看
2104,话说，鬼灭呼吸法的诞生是在战国时期吧，用来打日本战国械斗岂不是降维打击，就没有试图用呼吸法剑技称霸一...,动画/番剧,0.95,"鬼灭之刃, 呼吸法, 战国, 武士",音速闪电
2076,关于艺术家画风的分类问题的求助与讨论.,游戏,0.95,"守望先锋, 艺术家风格, 4艺术家串, 模型学习, 二次元",ww2100357
2056,氪星人在dc宇宙里是什么级别战力,游戏,0.95,"正义联盟, 氪星人, DC宇宙",harf339676
2057,[拼装] 我是凯子王! 布鲁可 奇迹版 初音未来 跃动声芒,手办/周边,0.95,"初音未来, ml, 凯子王, 手办, 头雕",Aios5371
2058,[小报]《一拳超人》第三季 10月5日开播,动画/番剧,0.95,"一拳超人, ONE, 村田雄介, JAM Project, BABYMETAL",SakaiShana
2059,比较不可思议有些港片在推特一直有人画同人,漫画,0.95,"杀破狼2, 古天乐, 张晋, 典狱长, 西装暴徒",我真的是薇古丝单推人
2060,被桃华妈妈夜袭了,动画/番剧,0.95,"桃华, 妈妈, 夜袭",Just｜Monika
2061,五条悟：这种弟子真的存在吗,动画/番剧,0.95,"五条悟, 原神",无漏的伟健
2062,魔法少女部门,动画/番剧,0.95,"魔法少女, 守护城市, 魔法少女科",SakaiShana
2063,吐槽下恋姬无双前几个月新页游,游戏,0.95,"恋姬无双, 战国, 双天, 异世界, r18",霞天义流
2065,漫威丧尸动画预告,动画/番剧,0.95,"漫威, 丧尸, What if, 刀锋战士, 复联3",多莉DOLLY
2066,新手抓哪只怪兽开局好点,游戏,0.95,"怪兽, 杰顿星人, 泰莱斯通, 西利赞, 萨拉德",sdajwid
2067,pp世界的全息投影是不是整容和化妆的高替,动画/番剧,0.95,"全息投影, 整容, 化妆, 机器人, 家务",looker2020
2068,[比烂氵]令和假面骑士痛投,动画/番剧,0.95,"令和, 假面骑士",幻梦流霜
2069,求推荐有掰直女同情节的gal,动画/番剧,0.95,"gal, 女同, 掰直, 败犬, 双飞",三鸦
2070,名侦探柯南电影是哪部开始烂起来的,动画/番剧,0.95,"名侦探柯南, 柯南大电影, 水平线, 绀碧之棺",王决绝
2071,知乎看柯南毁童年的争论，看到个好笑回答,漫画,0.95,"柯南, 江南, 罂粟花",yddjhjh
2072,"[柯南氵]另一种M28的吐槽，当柯南的""柯学""搞到了你擅长的领域时",漫画,0.95,"柯南, 柯学",繁星之愿
2073,看来黑胡子应该就是因为父亲为救自己而死,动画/番剧,0.95,"黑胡子, 梦想, 父亲",新死难者23eer
2074,柯南这片子是纯粹的不可燃垃圾(有大量剧透,其他,0.95,"柯南, 毛利小次郎, 步美, 司法交易, 天文台",Maymyself
2075,[哈利波特归猴]隔壁有人讨论HP的战斗，我想说昏迷咒跟缴械咒在巫师决斗最常用是有原因的,其他,0.95,"哈利波特, 霍格沃茨, 巫师, 咒语, 昏迷咒",面包与奶油
2103,最近有在想一件事，如果樱没天赋在家啃老的时间线，是不是幺蛾子会少很多,动画/番剧,0.95,"Fate/Zero, 樱, 狂兰, 雁夜, 时辰",兀德桑
2106,对近期ll的一些吐槽/疑惑,虚拟主播/VTuber,0.95,"ll, 步梦, 四季, 露比, 虹团",天生我才2015
2105,求一部韩漫 男主叫太阳的，女主叫子乔好像,漫画,0.95,"韩漫, 太阳哥, 子乔, 咖啡店, 发小",AngTEe
2151,海贼王这话卡普真黑点：让未成年儿子看天龙人暴行+被海贼围剿,动画/番剧,0.95,"海贼王, 卡普, 空, 天龙人, 洛克斯团",暂无此人N先生
2138,一夜酱九周年衣装更新,动画/番剧,0.95,"一夜酱, 九周年, 衣装",丶夜鹰之梦丶
2140,奥特曼给怪兽修脚了,动画/番剧,0.95,"奥特曼, 怪兽",蕉太狼1234
2141,[破事氵] 谁能想到我第一次感受到“钉宫癌”是因为这个,动画/番剧,0.95,"机战 (高达), 钉宫 (钉宫优子), 追加技, pp",商恩
2142,看碧蓝之海漫画感觉耕平爱菜这对还真是怪合适的,漫画,0.95,"碧蓝之海, 耕平, 爱菜",无法触摸侬的脸
2143,龙族同人《Re：迷镜生花》,轻小说,0.95,"龙族, 贝依莎?安伯, 雷娜塔, 赫里俄斯, 莱莉娅",山海天地之间
2144,假如你突然获得无副作用死亡笔记的同时，全人类都知道了有个人获得了死亡笔记，会如何,漫画,0.95,"死亡笔记, 死神之眼, 琉克, 死神大王, 死亡笔记",三鸦
2146,理工科狸猫女与商科黄毛男,动画/番剧,0.95,"狸猫, 黄毛, 商科, 理工科, 泳装",愚鱼欲与渔语
2149,破刃之剑的漫画家开新连载了,漫画,0.95,"破刃之剑, 魔法機械人間906",ONEnana
2150,牌佬氵当女朋友因为天谴牌序，输掉大优对局时，你该：,游戏,0.95,"牌佬, 天谴牌序, 卡组, 毒瘤",红苦艾Clover
2152,最早那些自制的手办是怎么做的,动画/番剧,0.95,"自制手办, 阿宅, 上世纪, 3D打印, DIY",Sin2501
2052,[盲盒潮玩] 年轻人的第一款MJD,手办/周边,0.95,"盲盒, 潮玩, 某鱼, 光魇, 双生",待兼福来厨
2154,fanbox fantia cien这些网站有什么不同吗？,虚拟主播/VTuber,0.95,"fanbox, fantia, cien, onlyfans, 虚拟主播",桃玲音音
2155,这两天补完了忍者杀手动画,动画/番剧,0.95,"忍者杀手, jojo",千世的不凋花
2156,韩国动画考古：从《再见星上人》谈韩国动画现状,动画/番剧,0.95,"再见星上人, 万王之王, 韩国动画",Asuku02
2157,尾田是真喜欢对称啊,漫画,0.95,"洛克斯, 黑胡子, 蜂巢岛",desireplxxse
2158,胖虎尽孝：为妈买进1.28亿豪宅,动画/番剧,0.95,"声优, 旬圈, 小日向文世, 中岛健人, 新田真剑佑",Overtheworld1st
2159,才知道夕日红，大蛇丸，宇智波佐助，宇智波鼬都是幻10，怎么差距那么离谱？,动画/番剧,0.95,"夕日红, 大蛇丸, 宇智波佐助, 宇智波鼬, 幻",芝士鸡排盖饭
2161,麦克同学甚至要被迫为男性服务，可恶的学生会长(悲),动画/番剧,0.95,"麦克同学, 学生会长, 被迫, 服务",Just｜Monika
2162,《在贞操颠倒的O根崇拜社会成为性要素供给委员》…,游戏,0.95,"穿越, 近未来, 男女比例, 性要素, 强制题材",即食型派蒙
2163,9070xt 跑 sd等模型怎样？,动画/番剧,0.95,"SD模型, 9070xt",达斯加加
2135,[拼装] 奸笑凯子，再临! GSC MODEROID 宇宙骑士 铁加曼利刃,手办/周边,0.95,"GSC, MODEROID, 宇宙骑士, 铁加曼利刃, 风暴战士",Aios5371
2134,[百变怪娘]陷阱,动画/番剧,0.95,"百变怪娘, 陷阱",SakaiShana
2133,机战Y高达系列战斗动画做的最差的是种命吗？,动画/番剧,0.95,"机动战士高达, Y高达, V高达, PPT, G高达",艾丝蒂尔Bright
2132,[漫画推荐] 漫画推荐：推一些近期看过的漫画,漫画,0.95,"漫画, 漫画推荐, 汉化进度, 漫画平台",コハクコハク
2107,后知后觉，这个女生小圈子几乎是屑粉毛一手组起来的吧？,虚拟主播/VTuber,0.95,"粉毛, 紫阳花, 紗夜, 王总是",Viviankl
2108,跟决斗者一样的大欧派,动画/番剧,0.95,"决斗者, 大欧",丶夜鹰之梦丶
2110,夜战龙娘姐妹花,动画/番剧,0.95,"夜战龙娘, 龙娘, 姐妹花",丶夜鹰之梦丶
2111,[漫画讨论]岩窟王，你快回来啊,漫画,0.95,"岩窟王, 漫画讨论",八云 紫
2112,[海贼1159]海军龙救了香克斯,动画/番剧,0.95,"海贼王, 香克斯, 海军龙, 夏琪",ASYUJI
2113,JayCaption 3 文件夹下图片批量打标一键包，8G显存等10系老卡可用。,动画/番剧,0.95,"JayCaption, 图片打标, 10系老卡",赛博画师
2115,[深夜氵]刚刚看了个本子给我笑软了,漫画,0.95,"本子, 登神长阶, 人体",虚言者
2116,一年一度的淫乱榜和贞洁榜出炉,动画/番剧,0.95,"淫乱榜, 贞洁榜",Just｜Monika
2118,[岸本齐史画工还是牛的]驯龙高手x火影忍者合作插图,动画/番剧,0.95,"驯龙高手, 火影忍者, 岸本齐史",柏木麻友
2120,[海贼氵]路飞如果不是卡普孙子感觉根本不会去顶上啊,动画/番剧,0.95,"海贼王, 路飞, 艾斯, 顶上, 卡普",无耻青空
2122,[漫威氵]玛丽简为什么是蜘蛛侠的命定之爱？,漫画,0.95,"玛丽简, 蜘蛛侠, 蛛女郎",伊德泽尔
2123,原来《进击的巨人》真人电影版这么烂是谏山创追星所致,漫画,0.95,"进击的巨人, 谏山创, 町山智浩, 韩吉, 巨人",仟音一心
2124,拼大班太消耗耐心了,手办/周边,0.95,"卡莎, 代哥, 8813, 大班, GK样式",雾雨魔力瞎
2125,刚补完末日后酒店，说点观后感,动画/番剧,0.95,"末日后酒店, 客人",GamaFuture
2126,[小报]藤本树短篇17-26 动画化决定，11月8日于Prime Video独占配信,动画/番剧,0.95,"庭には二羽ニワトリがいた。, 佐々木くんが銃弾止めた。, 恋は盲目, シカク, 人魚ラプソディ",hhhhhhttt
2127,CIW子 VS 破门少女,游戏,0.95,"CIW子, 破门少女, Monogatari Series",SakaiShana
2129,鬼灭之刃这招太狠了,动画/番剧,0.95,"鬼灭之刃, 罪恶之源",批纳特飞马
2130,白二动画做的咋样，和游戏比起来,动画/番剧,0.95,"动画, 游戏, ic",与荆
2131,闲得蛋疼问个ts问题,动画/番剧,0.95,"火影, 死神, 小樱, 露琪亚, 星十字团",大叫的萤火
2055,虽然过气了。但是泉此方18了？,动画/番剧,0.95,"泉此方, 18岁",HuniePoppuppy
2050,看剧场版，柯南给我一种浓烈的雌小鬼味道,动画/番剧,0.95,"柯南, 毛利小五郎, 小林",比那名居花花
2051,令和女主塑造的最烂和优秀的最烂的谁最合适,动画/番剧,0.95,"令和女主, 伊兹, 巨樱, 幸",Estme
1966,能正常生育的XY女性,其他,0.95,"XY女性, 基因, 遗传, 家族, 生育能力",咩咩叫的棉羊
1968,对人宝具对上灭国大军，刺客们还没摸到大营附近就被敖犬发现了，只能当母狗了,动画/番剧,0.95,"人宝, 敖犬, 大军, 灭国",Just｜Monika
1971,椰汁佐仓&阳子,动画/番剧,0.95,"椰汁, 仓员, 阳子",SakaiShana
1974,[xp氵][胡言乱语]有没有那种…正派有性瘾故意落败，跟反派十分有默契的各取所需，事后贤者时间还跟反...,游戏,0.95,"角色扮演, 调教, 反派, 正派, 炮友",暗珀星star
1975,[新闻资讯] 寿屋 1/7 SNK美少女 荒狂电光夏尔美,手办/周边,0.95,"寿屋, SNK美少女, 荒狂电光夏尔美, 1/7比例, 手办",hcahcsroR
1976,有没有谭友一起给这个本上色？就是最近最好的那个巫女姐妹加母女本...,漫画,0.95,"巫女姐妹, 母女本, 彩人设图, 上色",lionbreaker
1977,吐槽一下，为什么有退队流小说给弱智老板立一堆旗之后放着不管，之后章节再也没出现过,漫画,0.95,"魔术师被放逐后在新天地, 退魔贵族, kuma, 盟约, 国王",即食型派蒙
1978,假面骑士里有那么多社长，为什么黎斗享有“虾饺”称号那么经典,动画/番剧,0.95,"假面骑士, 黎斗, 社长, bugster, bushi",Daaaaaaaaaa
1979,[盲盒潮玩]邦倪兔系列的拼好兔(含改妆&自组),手办/周边,0.95,"邦倪兔, come4free, 盲盒潮玩, 拼好兔, 改妆",猫伊necoe
1980,[拼装] 核能矩阵啥情况，今年跟死了一样,手办/周边,0.95,"人马, 会场限定, 机车蚂蚱娘, 灰模",飞翔的被单
1981,日本议员批评鬼灭，称炭治郎看到鬼就勃然大怒，但是看到百姓受到欺压却熟视无睹,动画/番剧,0.95,"鬼灭之刃, 炭治郎, 花街篇",汉江明月身
1982,国漫纸刊作者特有的世界观联动,漫画,0.95,"国漫, 纸刊, 世界观联动, 腰斩",10RANCE
1985,ACG作品中还有什么关于告白的名场景啊,动画/番剧,0.95,"龙与虎, 凉宫春日, 阿虚, 团长, 星空下的告白",Just｜Monika
1986,大佬们 现在跑瑟瑟是用啥模型,漫画,0.95,"ComfyUI, 光辉模型, 人物一致性, 画本子",zzhzzh7
1987,拉拉辛这招太狠了,动画/番剧,0.95,"拉拉辛, 拉拉辛这招太狠了",待宵海雾
1988,上茵新作，当麻：看来这个必须买给茵蒂克丝了,动画/番剧,0.95,"茵蒂克丝, 上茵新作, 当麻",四姐小羊
1989,[GBC]重看一遍又截了点gif表情包,动画/番剧,0.95,"GBC, 东映, hina, mon_202509/03",brokenruler
1990,[新闻资讯] 寿屋 1/24 六角机牙 定义装甲 VT1,手办/周边,0.95,"寿屋, 六角机牙, VT1, 定义装甲, 1/24",hcahcsroR
1991,你们会觉得前传性质的作品应该放在正传前面看吗,动画/番剧,0.95,"前传, 正传, 时间线, 设定冲突, IP",麦林Mognum
1992,这个国gal有点哈人啊,动画/番剧,0.95,"国gal, PV, 前世",sdhjd
1967,突然发现今天是不是有人在挖柯南相关帖子的坟啊,动画/番剧,0.95,"柯南, 影视区",tzy502
1965,话说动漫里面有像天下第三一样靠运气混到硬实力第二的人么，吧唧这种不算,动画/番剧,0.95,"天下第三, 燕十三, 某某动画",兄弟同心
1994,最近想玩玩AI绘画，用SD的多吗？,动画/番剧,0.95,"SD, 秋叶, 火辣身材, 菲伦, 葬送的芙莉莲",AKTUO
1964,[魔法使之夜]后会有期吗,游戏,0.95,"魔法使之夜, 月姬r, 魔夜猛推, 橙子战, 草十郎",叶可速可
1940,飞嫂：嘎哦，吃掉你哦？,动画/番剧,0.95,"嘎哦, 飞嫂",丶夜鹰之梦丶
1941,青梅被硫酸毁容后变得离不开我的故事，《深琴不想被讨厌》,动画/番剧,0.95,"深琴不想被讨厌, 硫酸, 青梅, 毁容, 离不开",Just｜Monika
1943,机战这次剧情角色死亡没有吐便当吗？,动画/番剧,0.95,"机动战士高达, 梅瑟, 死亡",oftc3121
1944,才知道官方好像公布了座天使兽的脸,手办/周边,0.95,"座天使兽, 机械手臂, 官方公布",zzjkkkk
1946,赛马娘新企划！,动画/番剧,0.95,"赛马娘, 伏特加, 大和赤骥, 黄金船, 斯皮卡",wg10069134
1947,[科普] 面向新人的偶像大师系列超简易入门推荐,动画/番剧,0.95,"偶像大师, 企划, 角色",wingzero1208
1948,[乱氵]说起来在历代怪猎中猎人能操飞的龙里最大吨位是多少来着,游戏,0.95,"怪猎, 大剑, 龙, 铳枪",清姬_
1949,原来虎杖的领域在日本叫岩手观光啊,动画/番剧,0.95,"虎杖悠悟, 领域, 岩手观光",doyun26
1950,[小报]TV动画《他国日记》 26年1月放送,动画/番剧,0.95,"他国日记, ヤマシタトモコ, 大城美幸, 沢城みゆき",hhhhhhttt
1951,为什么宇宙环境的xx驾驶服刻板印象是紧身衣？,动画/番剧,0.95,"驾驶服, 紧身衣, 科幻创作, 深海",CH3CH3
1952,[资讯]哆啦A梦一伙要去打无惨了(雾),动画/番剧,0.95,"哆啦A梦, 日经",西尾晴香
1953,漫画家会存在一种“本子洁癖”吗？,漫画,0.95,"本子, 漫画家, 挑灯夜画, 正经",反式D羟脯氨酸
1954,[轨迹氵] [剧透氵] 闪三打完有些槽不吐不快,游戏,0.95,"闪三, 黎老师, 缇妲, 阿加特, 妙婕",153interpreter
1955,[25年入fate氵]刚看完FZ，该不该接着看UBW？(一转FSN直播),动画/番剧,0.95,"Fate/Zero (UBW), Fate/Stay Night, Saber, 金闪闪, 麻婆",bjqdsybrs
1956,[胡言乱语]看了最近几年各种抽象的女女关系番，《终末的伊泽塔》是不是太生不逢时了,动画/番剧,0.95,"终末的伊泽塔, 女女关系, 公主代理人, 大河内",面包与奶油
1957,祝我老婆生日快乐啊，晚上一起吃烤肉吧！(),动画/番剧,0.95,"老婆, 生日, 烤肉",Just｜Monika
1958,[lowB boss氵]邪灵附身更新了,游戏,0.95,"邪灵附身, boss, 氵",粗糙的米沙司
1960,感觉是10月最神奇的动画化,动画/番剧,0.95,"GANGLION, コミックヨシモト",doyun26
1962,想要帮助我童贞毕业的保健老師  作者：ずり騎士,动画/番剧,0.95,"保健老師, 童贞, 毕业",Just｜Monika
1993,吉翁兔女郎还是联邦兔女郎？,游戏,0.95,"吉翁兔女郎, 联邦兔女郎, Gunslinger Rabbit, Rabbit Girl",丶夜鹰之梦丶
1995,某暗部的少女共栖第五卷试阅插画,漫画,0.95,"某暗部的少女, 第五卷, 插画",久远寺宅的草十郎
2166,有啥好的悬疑推理作品推荐吗,漫画,0.95,"金田正太郎, 金田系列, case, file, 逆转",鬼屎蛋
2029,你喜欢抽烟的美少女吗,动画/番剧,0.95,"金恋, 理亚, 抽烟",Respecolt
2031,看了一个叫十字架下六人的漫画感觉脑子要被强健了,漫画,0.95,十字架下六人,tbupxom
2032,征集一下各位遇到过的难绷台词,动画/番剧,0.95,"佐贺, 偶遇台词",Moppa12
2033,MGSD风灵感觉中规中矩，没什么缺点，但是也没啥亮点,手办/周边,0.95,"MGSD, 风灵感觉, 造型",软毛大栗子
2034,假面骑士需要承担让人想成为假面骑士的职责吗,动画/番剧,0.95,"假面骑士, 英雄",皇家烈焰
2035,神奇的拼多多，没版权的毛绒玩具能降到这么低的,手办/周边,0.95,"拼多多, 毛绒玩具, 周边",狗刺打蜡机
2036,是我有眼不识泰山了bro,动画/番剧,0.95,"人偶师, 工房, 展示厅, 动画",小小睿智树
2037,好涩气的侧乳啊,动画/番剧,0.95,"侧乳, 涩",Just｜Monika
2038,似乎不少作的机战，地狱死神高达都挺好用的啊,游戏,0.95,"机动战士高达, 0改, 分身, 光束减伤, 迪奥",coolshen
2039,[拼装]小程序开了rg2.0 G3第二批,手办/周边,0.95,"rg2.0, G3, 小程序, 货量很大",№无辜の眼泪
2040,一拳三季这是已经被jc放弃了吧,动画/番剧,0.95,"一拳, jc, 监督, 泡面番",doyun26
2041,在玩机战y 想看电光机王了 需要先看古利特吗？,动画/番剧,0.95,"机战, 电光机王, 古利特",tuTuStream
2042,有没有能识别作品是否是ai生成的工具,动画/番剧,0.95,"AI生成, 作品识别",DaScan
2043,有没有类似月色真美这样的作品啊，挺喜欢的,动画/番剧,0.95,"月色真美, 怦然心动, 青春, 纯洁",阿蒂拉酱
2044,当年成都秋山澪和黑丝带的雅号依旧很到位,动画/番剧,0.95,"成都秋山澪, 黑丝带, 雅号",GoldenAlien
2045,艾斯奥特曼双人变身是什么设定啊？,动画/番剧,0.95,"艾斯奥特曼, 北斗, 变身",Cerydra
2046,[投票氵]我们今天来屎里淘金，选出令和骑士你最喜欢的三个。,动画/番剧,0.95,"令和骑士, 狐神",涂山枣枣
2047,请问，《无敌少侠》这个漫画，背景和漫威DC有联系吗？,漫画,0.95,"无敌少侠, 蝙蝠侠, 海王, 神奇先生, 隐形女",Facehugger
2048,[柯南归猴] 为什么说妃英理是顶级恋爱脑，兼评价死小世界的各位警官仕途,其他,0.95,"柯南, 毛利小五郎, 妃英理, 警官, 职业组",地狱叉
2049,机战y的预购特典机体还有别的入手方式么,手办/周边,0.95,"机动战士高达, y, 预购特典, 机体, vtx",wanghaispp
2030,[直播]海贼王感想楼,动画/番剧,0.95,"海贼王, 打戏, 感想",gfhtyjty
2026,[无聊水一个] 在23 24年前，新三国的风评是不是真挺好的,动画/番剧,0.95,"高导猪鞭, 刘备, 曹操, 三国",Aster木贞丶
1996,萌新求问关于后室的相关设定,游戏,0.95,"后室, 前厅, NGA",十九月亮八分缘
2025,33号远征队的剧情总感觉很变扭,游戏,0.95,"33号远征队, 老爹, 维, 妹妹, 画中世界",矿骡亩产一千八
1998,黑手到货水,手办/周边,0.95,"黑手, 荧光漆, 紫光灯",kingchali
1999,机战Y这两位是不是技能给反了？？？,游戏,0.95,"机动战士高达, 齐博迪, 乔治",牛牛福福
2000,[技术交流] GK 碧蓝档案 明日奈 !避雷!幻都GK!,手办/周边,0.95,"GK, 碧蓝档案, 明日奈, 空心头发, 必件",YouDuckBoom
2001,凡人修仙传这么猛吗，听说都快50w同接了,动画/番剧,0.95,"凡人修仙传, B站番剧区, 同接",xyz_official
2002,[保龄球]相信吧，相信相信的力量！,动画/番剧,0.95,"战国团, 完结回",知世就是力量z
2003,苍穹之法芙娜怎么补啊，怎么这么多,游戏,0.95,苍穹之法芙娜,奶油培根
2004,[芙莉莲氵]会死吗？会死的,游戏,0.95,"黄金乡, 芙莉莲, 老登",鱼缸里的巴劳鱵
2005,[可动成品]MB神的可动可以摆出来流畅的三节棍pose吗,手办/周边,0.95,"MB, 可动, 三节棍, 霍元甲, 回首掏",血魔-D
2006,(涉及剧透！一转直播已完结)魔法少女的魔女审判求助吐槽帖,动画/番剧,0.95,"魔法少女, 诺亚, 审判, 希罗酱, 艾玛",冲田の信长
2007,洛克斯人物刻画越来越好，不会导致某海贼王和海军英雄很尴尬吗？,动画/番剧,0.95,"洛克斯, 神之岛, 某海贼王, 海军英雄",韩老魔航天尊
2011,下载的通关存档里没有铁的意志和钢的坚韧,游戏,0.95,"小黄油, 通关存档, h scene, mtool, 新手村",薄荷口味奥利奥
2012,你是一名略有地位却不幸残疾的佣兵头子，这让你感到了危机,轻小说,0.95,"佣兵, 残疾, 养子, 忠犬, 剑",陌氪
2017,转生异世界，但是卡车,游戏,0.95,"转生异世界, 卡车, 赛博坦",xyz_official
2019,月下三柱男,漫画,0.95,"月下三柱, 男, 武士",半夏chd
2020,[xp氵]有哪些原本是恐怖题材故事或人物，现在却经常被二创为工口题材,其他,0.95,"贞子, 花子, 裂口女, 八尺大人, 儿童美术作业",煌煌其烨
2021,NTR，但是女主和黄毛…融合了？,漫画,0.95,"NTR, 融合, 黄毛, 扶她, 男妻",愚鱼欲与渔语
2022,[投票氵]百饱瓶VS彩虹龙，谁才是令和表现最拉的最终,游戏,0.95,"mk9, 百饱瓶, 彩虹龙",冰鉴禅心
2023,忽然发现机战Y也能组个败犬同盟了,动画/番剧,0.95,"机动战士高达, 米拉吉",renkan119
2024,还有没有这种极具魄力和张力的单人构图,游戏,0.95,"单手指天, 双手抱胸, mon_202509",Respecolt
2164,大川ぶくぶ P5十艘跳,漫画,0.95,"大川ぶくぶ, P5, 十艘跳",SakaiShana
2168,(柯南氵)诸伏高明能在青山笔下一直没有cp，是不是挺少见的,漫画,0.95,"柯南, 诸伏高明, 青山, 横沟警官, 荻原千速",怒火之魂
2167,所以罗杰是为什么要帮海军打一个救自己爱慕的人和他自己家人，家乡的人，保护把他心爱的人抓起来当奴隶的天...,动画/番剧,0.95,"罗杰, 海军, 天龙人, 爱慕",单纯爱裤衩
2328,[破事氵] 如果一个伪娘同时是假小子，那简直超棒好吧？,动画/番剧,0.95,"伪娘, 假小子, 吊图",kiraspark
2315,渡边明夫 SHAFT 50周年展 视觉图第一弹,动画/番剧,0.95,"渡边明夫, SHAFT, 50周年展, 视觉图",仟音一心
2316,假面骑士时王 粪坑里找巧克力豆的一部骑士,动画/番剧,0.95,"假面骑士时王, 庄吾, 崇皇, 海东, 奥拉",1糯米糖果1
2317,什么段誉加星球大战，你到底有几个好妹妹,动画/番剧,0.95,"段誉, 星球大战, 妹妹",Just｜Monika
2318,话说0奈子啥时候会意识到自己这一辈子就是个女同命啊,轻小说,0.95,"0奈子, 了真唯, 紫阳花, 原作, 下一卷",クオン久遠
2319,今天九月一号是真飞鸟的生日，转发这条消息到十个群飞鸟就会用前格打爆你讨厌的人,动画/番剧,0.95,"真飞鸟, 前格",超级机器人大战Y
2320,G团宣布无限期停止活动,动画/番剧,0.95,"G团, 无限期停止活动",TKTK酱
2323,逆鸭里葵司不穿防护服跳出驾驶舱是个什么操作,动画/番剧,0.95,"逆鸭里葵司, 新人类",爱民如子石天王
2325,兔女郎斗萝,动画/番剧,0.95,"兔女郎, 斗萝",丶夜鹰之梦丶
2326,准备开坑传说中的媚肉之香了，be17也是早有耳闻,游戏,0.95,"ntr, be17",shinrex
2329,[拼装]HG命运xEW宙斯魅影,动画/番剧,0.95,"HG命运, EW宙斯, 魅影",PlgeonK
